question,answer,generated_answer
<MedVQA>What is the number of instruments visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of instruments visible in the image?,The artefact appears green/black in color.,The artefact appears as a green/black box.
<MedVQA>What is the number of instruments visible in the image?,No polyps are present.,There are no polyps.
<MedVQA>What is the number of instruments visible in the image?,"The abnormality appears with colors pink, red, and white.",The abnormality appears pink and red in color.
<MedVQA>What is the number of instruments visible in the image?,"The color of the abnormality is pink, red, and white.","The abnormality in the image is pink, red, and white."
<MedVQA>What is the number of instruments visible in the image?,"The abnormality is located in multiple positions in the image, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper upper-right, lower-left and lower-right."
<MedVQA>What is the number of instruments visible in the image?,The polyp is 5-10mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>Is there a green/black box artefact in the image?,"The abnormality is located in the center, lower-right, center-right, and lower-center.",The abnormality is located in the center and lower-center of the image.
<MedVQA>Is there a green/black box artefact in the image?,The abnormality in the image is pink and white,The color of the abnormality is pink.
<MedVQA>Is there a green/black box artefact in the image?,"The abnormality is located in the center, lower-right, center-right and lower-center.","The abnormality is located in the center, lower-right, center-right and lower-center."
<MedVQA>Is there a green/black box artefact in the image?,The abnormality is pink and white in color.,"The abnormality has a pink, red, and white coloration."
<MedVQA>Is there a green/black box artefact in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Is there a green/black box artefact in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>Is there a green/black box artefact in the image?,Oesophagitis,Oesophagitis
<MedVQA>Is there a green/black box artefact in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>Is there a green/black box artefact in the image?,Paris IIa,A Paris type polyp is present.
<MedVQA>Is there a green/black box artefact in the image?,There are no polyps.,There are no polyps.
<MedVQA>Is there a green/black box artefact in the image?,A polyp,A polyp
<MedVQA>Is there a green/black box artefact in the image?,A Paris IP type polyp,A Paris type polyp is present.
<MedVQA>Is there a green/black box artefact in the image?,There are no polyps present.,The patient's digestive tract is polyp-free.
<MedVQA>Is there a green/black box artefact in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Is there a green/black box artefact in the image?,"The abnormality is located in the upper-left, upper-right, center-right, and upper-center.","The abnormality is located in the center, upper-right, and upper-center of the image."
<MedVQA>Is there a green/black box artefact in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>Is there a green/black box artefact in the image?,There is one instrument present.,A tube
<MedVQA>Is there a green/black box artefact in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>Is there a green/black box artefact in the image?,Yes,"Yes, the image contains text."
<MedVQA>Is there any text in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>Is there any text in the image?,The abnormality in the image is pink and red.,"The abnormality in the image has a pink, red, and white color."
<MedVQA>Is there any text in the image?,"The abnormality is located in multiple positions, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>Is there any text in the image?,A polyp.,A polyp
<MedVQA>Is there any text in the image?,The instrument is located in the lower-right and lower-center.,The instrument is located in the lower-right and lower-center.
<MedVQA>Is there any text in the image?,A polyp.,There are no instruments visible in the image.
<MedVQA>Is there any text in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>Is there any text in the image?,"Yes, the image does not contain any noticeable green/black box artefacts.","Yes, the image does not contain a green/black box artefact."
<MedVQA>Is there any text in the image?,"The abnormality is pink, red and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>Is there any text in the image?,The polyp is 5-10mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>Is there any text in the image?,There are no polyps.,There are no polyps.
<MedVQA>Is there any text in the image?,There are no polyps.,The inside of the body is polyp-free.
<MedVQA>Is there any text in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>Is there any text in the image?,"The anatomical landmark is located at the center and its surrounding areas, including center-left, center-right, upper-center, upper-right, lower-left, and lower-right.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>Is there any text in the image?,The abnormality is located in the center and upper-center of the image.,The abnormality is located in the center and upper-center of the image.
<MedVQA>Is there any text in the image?,There is 1 finding in the image.,There is 1 finding.
<MedVQA>Is there any text in the image?,"The instrument is located in multiple positions, including the center, upper-left, upper-right, center-left, center-right, and upper-center.","The instrument is located in the center, upper-left, center-right, and upper-center of the image."
<MedVQA>Is there any text in the image?,The anatomical landmark is located in the center-right and lower-right area.,"The anatomical landmark is located in the center, center-right, lower-center, and lower-right areas."
<MedVQA>Is there any text in the image?,"The colon is benign, with no polyps detected.",The colon is polyp-free.
<MedVQA>Is there any text in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>How many findings are present in the image?,There is 1 finding in the image.,There is 1 finding.
<MedVQA>How many findings are present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>How many findings are present in the image?,The artefact appears as a green/black box.,The artefact appears as a green/black box.
<MedVQA>How many findings are present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>How many findings are present in the image?,"The abnormality is pink, red, and white in color.",The abnormality has pink and red colors.
<MedVQA>How many findings are present in the image?,The abnormality is located in the center and upper-center of the image.,The abnormality is located in the center and upper-center of the image.
<MedVQA>How many findings are present in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>How many findings are present in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>How many findings are present in the image?,"The abnormality is pink, red, and white in color.",The color of the abnormality is pink and red.
<MedVQA>How many findings are present in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center regions.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>How many findings are present in the image?,No,"No, the image does not contain any text."
<MedVQA>How many findings are present in the image?,A Paris type polyp,A Paris IP type polyp
<MedVQA>How many findings are present in the image?,The color of the abnormality is pink.,"The color of the abnormality is pink, yellow, red, and white."
<MedVQA>How many findings are present in the image?,"The abnormality is pink, red, and white in color.","The abnormality has a pink, red, and white coloration."
<MedVQA>How many findings are present in the image?,There are no instruments visible in the procedure.,There are no instruments visible in the procedure.
<MedVQA>How many findings are present in the image?,The image contains the z-line.,There are no instruments visible in the image.
<MedVQA>How many findings are present in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>How many findings are present in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>How many findings are present in the image?,"The abnormality has a pink, red and white color scheme.","The abnormality is pink, red, and white in color."
<MedVQA>How many findings are present in the image?,1 polyp,There is 1 polyp.
<MedVQA>Is there any text in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>Is there any text in the image?,"An abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>Is there any text in the image?,The abnormality has a pink and white color.,"The abnormality appears pink, red, and white in color."
<MedVQA>Is there any text in the image?,The artefact is green/black.,The artefact is green/black.
<MedVQA>Is there any text in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>Is there any text in the image?,Yes,"Yes, the image contains text."
<MedVQA>Is there any text in the image?,A colonoscopy,A colonoscopy procedure
<MedVQA>Is there any text in the image?,A polyp,A polyp
<MedVQA>Is there any text in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>Is there any text in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>Is there any text in the image?,Oesophagitis,Oesophagitis
<MedVQA>Is there any text in the image?,The abnormality is located in the center-right region.,The abnormality is located in the center.
<MedVQA>Is there any text in the image?,There are no instruments present in the image.,There are no instruments in the image.
<MedVQA>Is there any text in the image?,The artefact is green/black.,The artefact is green/black.
<MedVQA>Is there any text in the image?,There are no instruments present.,There are no instruments present in the image.
<MedVQA>Is there any text in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>Is there any text in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>Is there any text in the image?,A polyp.,There are no instruments visible in the image.
<MedVQA>Is there any text in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in the center and upper-left of the image, as well as the center-left, upper-right, lower-center, and lower-right areas."
<MedVQA>Is there any text in the image?,The abnormality is located in the center and center-right.,"The abnormality is located in the center, center-right, and lower-center of the image."
<MedVQA>What type of procedure is depicted in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What type of procedure is depicted in the image?,"The abnormality is located in the upper-left, center-left, and upper-center.",The abnormality is located in the upper-left and center-left.
<MedVQA>What type of procedure is depicted in the image?,The observed abnormality has a pink color.,The observed abnormality is pink.
<MedVQA>What type of procedure is depicted in the image?,There is 1 finding in the image.,There is 1 finding.
<MedVQA>What type of procedure is depicted in the image?,There are no polyps.,There are no polyps.
<MedVQA>What type of procedure is depicted in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What type of procedure is depicted in the image?,There are no polyps.,There are no polyps.
<MedVQA>What type of procedure is depicted in the image?,The instruments are not present.,There are no instruments present.
<MedVQA>What type of procedure is depicted in the image?,The image does not contain any text.,The image does not contain any text.
<MedVQA>What type of procedure is depicted in the image?,The anatomical landmark is located in the lower-center and lower-right parts of the anatomy.,The anatomical landmark is located in the center and lower-center of the image.
<MedVQA>What type of procedure is depicted in the image?,"The abnormality has a pink, red and white color.","The abnormality is pink, red, and white in color."
<MedVQA>What type of procedure is depicted in the image?,The color of the abnormality is pink with white coloration.,The color of the abnormality is pink.
<MedVQA>What type of procedure is depicted in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of procedure is depicted in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What type of procedure is depicted in the image?,The image shows no instruments present.,A polyp
<MedVQA>What type of procedure is depicted in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What type of procedure is depicted in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of procedure is depicted in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of procedure is depicted in the image?,Yes,"Yes, the image contains text."
<MedVQA>What type of procedure is depicted in the image?,There are no instruments visible in the image.,There are no instruments visible.
<MedVQA>What type of medical procedure is depicted in this image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is depicted in this image?,There are no polyps.,There are no polyps.
<MedVQA>What type of medical procedure is depicted in this image?,The abnormality is located in the lower-right and center-right,The abnormality is located in the center and lower-center of the image.
<MedVQA>What type of medical procedure is depicted in this image?,"The instruments are located in the center, upper-center, and lower-center of the image.","The instruments are located in the center, upper-center, and lower-center of the image."
<MedVQA>What type of medical procedure is depicted in this image?,"No, the image does not contain a green/black box artifact.","No, the image does not contain a green/black box artifact."
<MedVQA>What type of medical procedure is depicted in this image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What type of medical procedure is depicted in this image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What type of medical procedure is depicted in this image?,There are no polyps.,There are no polyps.
<MedVQA>What type of medical procedure is depicted in this image?,A Paris IIa type polyp,A Paris IIa type polyp
<MedVQA>What type of medical procedure is depicted in this image?,One polyp is present in the image.,There is 1 polyp.
<MedVQA>What type of medical procedure is depicted in this image?,There are no polyps present.,The image does not contain any text.
<MedVQA>What type of medical procedure is depicted in this image?,There are no instruments present.,There are no instruments present.
<MedVQA>What type of medical procedure is depicted in this image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>What type of medical procedure is depicted in this image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What type of medical procedure is depicted in this image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What type of medical procedure is depicted in this image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What type of medical procedure is depicted in this image?,"The abnormality appears pink, red and white in color.","The abnormality appears pink, red, and white in color."
<MedVQA>What type of medical procedure is depicted in this image?,No findings were observed.,No findings were observed.
<MedVQA>What type of medical procedure is depicted in this image?,"The instrument is located in the center, upper-right, center-right, and upper-center of the image.","The instrument is located in the center, upper-right, and upper-center of the image."
<MedVQA>What type of medical procedure is depicted in this image?,The abnormality is located in the center and upper-left.,The abnormality is located in the center and lower-center of the image.
<MedVQA>What is the number of findings in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the number of findings in the image?,"The instrument is located in the upper-left, lower-left, center-left, and lower-center positions.","The instrument is located in the center, upper-left, lower-left and center-left positions."
<MedVQA>What is the number of findings in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,There is no text visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,The artefact is green/black.,The artefact is green/black.
<MedVQA>What is the number of findings in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the number of findings in the image?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What is the number of findings in the image?,The polyp is approximately less than 5mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the number of findings in the image?,The abnormality is pink,The color of the abnormality is pink.
<MedVQA>What is the number of findings in the image?,There are 2 findings.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,The colon is polyp-free.,The colon is polyp-free.
<MedVQA>What is the number of findings in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the number of findings in the image?,One polyp is present in the image.,There is 1 polyp.
<MedVQA>What is the number of findings in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the number of findings in the image?,A box-shaped artefact with a green and black color.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,The Z-line is visible.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,A colonoscopy,A colonoscopy procedure
<MedVQA>What is visible in the image?,There is one instrument.,There is 1 instrument.
<MedVQA>What is visible in the image?,A green/black box artefact is present.,A green/black box artefact
<MedVQA>What is visible in the image?,1,There is 1 finding.
<MedVQA>What is visible in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is visible in the image?,1,There is 1 instrument.
<MedVQA>What is visible in the image?,The procedure revealed no findings.,The procedure did not reveal any findings.
<MedVQA>What is visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is visible in the image?,The polyp is approximately 5-10mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is visible in the image?,The abnormality is located in the center and the corners of the image.,"The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is visible in the image?,"No, the image does not contain any text.","No, the image does not contain any text."
<MedVQA>What is visible in the image?,"The abnormality is pink, red and white in color.",The color of the abnormality is pink.
<MedVQA>What is visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is visible in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is visible in the image?,There are no instruments present in the image.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is visible in the image?,No instruments are present.,There are no instruments present in the procedure.
<MedVQA>What is the number of findings in the image?,1,There is 1 finding.
<MedVQA>What is the number of findings in the image?,A colonoscopy,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,The polyp is of type Paris.,A Paris type polyp
<MedVQA>What is the number of findings in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the number of findings in the image?,2,There is 1 finding.
<MedVQA>What is the number of findings in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the number of findings in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the number of findings in the image?,A polyp is visible.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,No polyps are present.,"The colon is normal, with no polyps detected."
<MedVQA>What is the number of findings in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the number of findings in the image?,"The anatomical landmark is located in the center, center-left, lower-center, and lower-left of the image.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>What is the number of findings in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the number of findings in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in the upper-left, upper-right, lower-left and lower-right areas."
<MedVQA>What is the number of findings in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>What is the number of findings in the image?,The abnormality has white and red colors.,The abnormality has white and pink colors.
<MedVQA>What is the number of findings in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the number of findings in the image?,There are no instruments visible.,There are no instruments visible.
<MedVQA>What is the number of findings in the image?,The colon is normal with no polyps.,The colon is polyp-free.
<MedVQA>What is the number of findings in the image?,"The anatomical landmark is located in the center, center-left, upper-center, upper-left, lower-center, and lower-left.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>What is the number of findings in the image?,A colonoscopy,A colonoscopy procedure
<MedVQA>What is the location of the abnormality?,The abnormality is located in the center.,The abnormality is located in the center.
<MedVQA>What is the location of the abnormality?,Yes,"Yes, the image contains text."
<MedVQA>What is the location of the abnormality?,1 finding,There is 1 finding.
<MedVQA>What is the location of the abnormality?,"The abnormality is located in the center, lower-right, center-right, and lower-center areas.",The abnormality is located in the center and lower-center of the image.
<MedVQA>What is the location of the abnormality?,There are no polyps.,There are no polyps.
<MedVQA>What is the location of the abnormality?,The abnormality is pink and red in color.,The color of the abnormality is pink and red.
<MedVQA>What is the location of the abnormality?,Oesophagitis,Oesophagitis
<MedVQA>What is the location of the abnormality?,One instrument,A tube
<MedVQA>What is the location of the abnormality?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the location of the abnormality?,The instruments are located in the upper-left and center-left areas.,"The instruments are located in the center, upper-left, and upper-center of the procedure."
<MedVQA>What is the location of the abnormality?,The image contains the z-line.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the location of the abnormality?,"The abnormality is located in multiple areas, specifically in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What is the location of the abnormality?,The box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What is the location of the abnormality?,The image does not contain any text.,The image does not contain any text.
<MedVQA>What is the location of the abnormality?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the location of the abnormality?,Biopsy,A colonoscopy procedure
<MedVQA>What is the location of the abnormality?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is the location of the abnormality?,The box-like artefact is green/black.,The box-like artefact is green/black.
<MedVQA>What is the location of the abnormality?,There are no instruments present in the image.,There are no instruments visible in the image.
<MedVQA>What type of polyp is visible in the image?,Type Paris IIa,A Paris IIa type polyp
<MedVQA>What type of polyp is visible in the image?,"No, there is no text in the image.","No, the image does not contain any text."
<MedVQA>What type of polyp is visible in the image?,No instruments are visible.,There are no instruments visible in the image.
<MedVQA>What type of polyp is visible in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What type of polyp is visible in the image?,A tube,The tube is visible in the image.
<MedVQA>What type of polyp is visible in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What type of polyp is visible in the image?,1 instrument,There is 1 instrument used in the procedure.
<MedVQA>What type of polyp is visible in the image?,"The abnormality in the image has a pink, red, and white color.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What type of polyp is visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What type of polyp is visible in the image?,The polyps found are of size 11-20mm and also larger than 20mm.,The polyps are approximately 11-20mm in size.
<MedVQA>What type of polyp is visible in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What type of polyp is visible in the image?,One instrument is present in the image.,One instrument is present in the image.
<MedVQA>What type of polyp is visible in the image?,There is 1 instrument.,There are instruments located in the lower-right and lower-center of the image.
<MedVQA>What type of polyp is visible in the image?,1,There is 1 polyp.
<MedVQA>What type of polyp is visible in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What type of polyp is visible in the image?,Pink,The findings are green/black.
<MedVQA>What type of polyp is visible in the image?,"The image shows an abnormality located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","An abnormality with pink, red, and white colors is present in the image."
<MedVQA>What type of polyp is visible in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What type of polyp is visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of polyp is visible in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality?,"The abnormality is located at multiple points, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the location of the abnormality?,The box-like artefact is green/black.,The box-like artefact is green/black.
<MedVQA>What is the location of the abnormality?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the location of the abnormality?,There are no instruments visible.,There are no instruments visible.
<MedVQA>What is the location of the abnormality?,The z-line is visible.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality?,The image shows the z-line.,The image shows the z-line.
<MedVQA>What is the location of the abnormality?,"The abnormality is typically pink, white, and red in color.",The typical color of the abnormality is pink and white.
<MedVQA>What is the location of the abnormality?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the location of the abnormality?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the location of the abnormality?,The colon is normal and free of polyps.,The colon is polyp-free.
<MedVQA>What is the location of the abnormality?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality?,The image contains the z-line.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality?,"The anatomical landmark is located in the center-left, center-right, upper-center, upper-left, upper-right, lower-center, lower-left, and lower-right.","The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What is the location of the abnormality?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the location of the abnormality?,One instrument,One instrument is being used in the image.
<MedVQA>What is the location of the abnormality?,"The abnormality has a color scheme of grey, black, and white.",The color scheme of the abnormality is green/black.
<MedVQA>What is the location of the abnormality?,The Z-line is present in the image.,The z-line is visible in the image.
<MedVQA>What is the location of the abnormality?,The abnormality is located in the center and lower-center of the image.,The abnormality is located in the center and lower-center of the image.
<MedVQA>What is the location of the abnormality?,The z-line is observed.,The z-line is observed.
<MedVQA>What is the location of the abnormality?,Yes,"Yes, the image contains text."
<MedVQA>What is the color of the abnormality?,"The color of the abnormality is pink, red, and white.",The abnormality is pink and red in color.
<MedVQA>What is the color of the abnormality?,No polyps are present.,There are no polyps.
<MedVQA>What is the color of the abnormality?,A polyp,A polyp
<MedVQA>What is the color of the abnormality?,"The abnormality has a pink, red, and white color.","The abnormality appears pink, red, and white in color."
<MedVQA>What is the color of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the color of the abnormality?,A colonoscopy procedure.,A colonoscopy procedure
<MedVQA>What is the color of the abnormality?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the color of the abnormality?,Yes,"Yes, the image contains text."
<MedVQA>What is the color of the abnormality?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the color of the abnormality?,One polyp is present.,There is 1 polyp.
<MedVQA>What is the color of the abnormality?,"The anatomical landmark is located in the center-right, upper-center, upper-right, lower-center, and lower-right regions of the image.","The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What is the color of the abnormality?,2,There are 2 findings in the image.
<MedVQA>What is the color of the abnormality?,The artefact is green/black.,The artefact is green/black.
<MedVQA>What is the color of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the color of the abnormality?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the color of the abnormality?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the color of the abnormality?,The abnormality is pink and white in color.,The color of the abnormality is pink.
<MedVQA>What is the color of the abnormality?,No polyps were found.,The procedure shows no polyps.
<MedVQA>What is the color of the abnormality?,A colonoscopy,A colonoscopy procedure
<MedVQA>What is the color of the abnormality?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is visible in the image?,The image does not contain any text.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,"The abnormality in the image has pink, red, and white colors.","The color of the abnormality is pink, red, and white."
<MedVQA>What is visible in the image?,There are no visible polyps in the image.,There are no polyps.
<MedVQA>What is visible in the image?,A colonoscopy procedure.,A colonoscopy procedure
<MedVQA>What is visible in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is visible in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is visible in the image?,1,There is 1 polyp.
<MedVQA>What is visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is visible in the image?,The polyp is of type Paris.,A Paris IIa type polyp
<MedVQA>What is visible in the image?,The box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What is visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is visible in the image?,Yes,"No, the image does not contain any text."
