caption,Q,A
Generate an image containing ulcerative colitis.,What procedure is being performed on the patient?,Endoscopy for ulcerative colitis
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the artefact?,The color of the artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and red.,What can be seen in the image?,An abnormality with pink and red colors.
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the endoscopy image?,No instruments are visible.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the box-like artefact?,The box-like artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and red.,What is the characteristic feature of the abnormality visible in the image?,The abnormality has a pink and red color.
Generate an image from a colonoscopy procedure.,What type of medical procedure is being performed in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is present in the image?,A polyp
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments present.
Generate an image with 1 polyp.,What is the number of polyps in the image?,1
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,No
Generate an image containing text.,Is there text present in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The color of the abnormality is pink.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is approximately 5-10mm in size.
Generate a polyp of type paris iia.,What type of polyp is present in the image?,A Paris IIa type polyp
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an abnormality located in the upper-left and center-left.,What is the location of the abnormality?,The abnormality is located in the upper-left and center-left.
Generate an image containing tube.,What is the main component visible in the image?,A tube
Generate an image with no findings.,What can be seen in the image?,There are no findings present in the image.
Generate an image with 1 instrument.,What is present in the image?,One instrument is present.
Generate an image with no polyps.,What is the number of polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free of any artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of medical procedure is this image from?,This image is from a colonoscopy procedure.
"Generate an image with an an instrument located in the center, upper-left and center-left.",How many instruments are visible in the image?,"There are 3 instruments in the image, located in the center, upper-left, and center-left."
Generate an image containing a polyp.,What is visible in the image?,A polyp is visible.
Generate an image with 1 finding.,What is the number of findings in this image?,There is 1 finding.
Generate an image with no instruments.,What is shown in the image?,The image shows no instruments.
Generate an image with 1 polyp.,How many polyps are present?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Does the image have a green/black box artifact?,No
Generate an image not containing text.,Does the image contain any text?,No
Generate an image with an abnormality with the colors pink and white.,What is the appearance of the abnormality?,The abnormality appears with a pink and white coloration.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The size of the polyp is 5-10mm.
Generate a polyp of type paris ip.,What type of polyp is visible in this image?,A Paris-type IP polyp
Generate an image from a colonoscopy procedure.,What is the type of procedure depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, center-left and upper-center.",What is the location of the abnormality?,"The abnormality is located in the upper-left, center-left, and upper-center areas."
Generate an image containing tube.,What is the type of procedure shown in the image?,an endoscopy procedure
Generate an image with no findings.,What is the result of the endoscopy procedure?,There are no findings
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the number of polyps present in the image?,There are no polyps in the image.
Generate an image containing a green/black box artefact.,What is the color of the box artefact?,The box artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What is the type of procedure shown in the image?,A colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-right, center-right and upper-center.",What are the positions of the instruments in the image?,"The instruments are located in the center, upper-right, center-right, and upper-center."
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is the feature visible in the endoscopy image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings present in the image.
Generate an image with no instruments.,What is the status of the instruments in this image?,There are no instruments present.
Generate an image with no polyps.,What is the status of the mucosa in the image?,"The mucosa is normal, with no polyps detected."
Generate an image not containing a green/black box artefact.,Is the image affected by a green/black box artefact?,No
Generate an image not containing text.,What is visible in the image?,There is no text in the image.
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality in the image has the colors pink, red and white."
Generate an image from a gastroscopy procedure.,What type of procedure is depicted in the image?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located at multiple sites including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-right, upper-center, upper-right, lower-center and lower-rigth.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in the center, center-right, upper-center, upper-right, lower-center, and lower-right areas."
Generate an image containing tube.,What type of procedure is depicted in the image?,Endoscopy
Generate an image with no findings.,What was observed during the endoscopy procedure?,No findings were observed.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the polyp count in this image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is an image containing a green/black box artefact?,No
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,Colonoscopy procedure
"Generate an image with an an instrument located in the upper-right, lower-right and center-right.",What instruments are visible in this image?,"Three instruments are visible in this image, located in the upper-right, lower-right, and center-right positions."
Generate an image containing a polyp.,What is the type of lesion visible in the image?,A polyp
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding in the image.
Generate an image with no instruments.,What type of procedure is being performed?,Endoscopy procedure
Generate an image with 1 polyp.,How many polyps are visible in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image free from any artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red, white and purple.",What is the primary color of the abnormality?,"Pink, red, white, and purple"
Generate an image with a polyp of size >20mm.,What is the size of the polyp?,The polyp is greater than 20mm in size.
Generate a polyp of type paris ip.,What type of polyp is present?,A polyp of type Paris IP
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure.
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing oesophagitis.,What is the diagnosis of the patient?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The Z-line is visible.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings.
Generate an image with no instruments.,What instruments are present in the image?,There are no instruments present.
Generate an image with no polyps.,What is the result of the endoscopy procedure?,The procedure shows no polyps.
Generate an image not containing a green/black box artefact.,Is there a green box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,Is there text in the image?,"No, the image does not contain text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the dominant color scheme of the abnormality?,"The dominant color scheme of the abnormality is pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, upper-left, upper-right and lower-center.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in multiple positions, including center, center-left, center-right, upper-center, upper-left, upper-right, and lower-center."
Generate an image containing tube.,What is the type of procedure shown in the image?,The procedure is an endoscopy.
Generate an image with no findings.,What was the outcome of the endoscopy?,No findings were present.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument
Generate an image with no polyps.,What is the condition of the colon in the image?,The colon is normal and does not have any polyps.
Generate an image not containing a green/black box artefact.,Is the image free from green/black box artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an instrument located in the upper-left and center-left.,Where are the instruments located in the image?,The instruments are located in the upper-left and center-left.
Generate an image containing tube.,What is the type of procedure in this image?,A tube is present in the image.
Generate an image with no findings.,What is the outcome of the endoscopy procedure?,The procedure shows no findings.
Generate an image with 1 instrument.,How many instruments are present in the image?,1
Generate an image with no polyps.,What is the finding in the image?,The image shows no polyps.
Generate an image containing a green/black box artefact.,What is the color of the artefact in the endoscopy image?,The artefact is green/black.
Generate an image containing text.,Is there text present in the image?,"Yes, there is text present in the image."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in the image?,A colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-left and center-left.",What is the arrangement of instruments visible in the image?,"The instruments are located in the center, upper-left, and center-left positions."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in this image?,There is 1 finding
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red, white and yellow.",What is the color of the abnormality in the image?,"The abnormality in the image is pink, red, white, and yellow."
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",Where is the abnormality located in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing tube.,What is the instrument visible in the image?,A tube
Generate an image with no findings.,What is the outcome of the endoscopy procedure?,The procedure reveals no findings.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the status of the polyps in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What kind of artefact is visible in the image?,A green/black box artefact
Generate an image containing text.,Is there any text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of procedure is shown in this image?,A colonoscopy procedure
Generate an image with an an instrument located in the upper-left and center-left.,What is the location of the instrument?,The instrument is located in the upper-left and center-left area.
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image containing biopsy forceps.,What is the device seen in the image?,Biopsy forceps
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with 1 instrument.,How many instruments are present in the image?,There is 1 instrument in the image.
Generate an image with 1 polyp.,How many polyps are visible in the image?,1
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact visible in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there any text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors red, pink and orange.",What is the color of the abnormality?,"The abnormality is characterized by red, pink, and orange colors."
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is approximately 5-10mm in size.
Generate a polyp of type paris ip.,What type of polyp is present in the image?,A Paris IP type polyp
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an abnormality located in the center and upper-center.,What is the location of the abnormality?,The abnormality is located in the center and upper-center of the image.
Generate an image with an an instrument located in the lower-center.,What type of procedure is being performed?,An endoscopic procedure
Generate an image containing a polyp.,What is the focus of the endoscopy procedure in this image?,The focus of the endoscopy procedure is a polyp.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps can be seen in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color of the artefact?,The artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The color of the abnormality is pink.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is approximately 5-10mm in size.
Generate a polyp of type paris iia.,What type of polyp is present?,A Paris IIa type polyp
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,Colonoscopy
Generate an image with an an abnormality located in the center and center-right.,What is the location of the abnormality in the image?,The abnormality is located in the center and center-right.
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,1
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is text present in the image?,Yes
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The abnormality is pink.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp in the image?,The polyp is 11-20mm in size.
Generate a polyp of type paris is.,What is the type of polyp?,Paris
Generate an image from a colonoscopy procedure.,What type of procedure is shown in this image?,A colonoscopy
"Generate an image with an an abnormality located in the upper-right, center-right and upper-center.",What is the location of the abnormality?,"The abnormality is located in the upper-right, center-right, and upper-center."
Generate an image containing tube.,What is visible in the image?,A tube
Generate an image with no findings.,What does the endoscopy procedure show?,The procedure shows no findings.
Generate an image with 1 instrument.,What type of instrument is present in the image?,One instrument
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is the image free of any noticeable artefacts?,"Yes, the image does not contain any green/black box artefact."
Generate an image containing text.,Is there any text in the image?,"Yes, the image contains text."
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in the image?,A colonoscopy procedure.
"Generate an image with an an instrument located in the center, upper-left, center-left and upper-center.",What is the arrangement of the instruments in the procedure?,"The instruments are located in a diagonal pattern, with one in the center and others at the upper-left, center-left, and upper-center positions."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the total number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is the state of the instruments in the image?,There are no instruments in the image.
Generate an image with no polyps.,What is the condition of the colon in the image?,"The colon is normal, with no polyps."
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The color of the abnormality is pink, red, and white."
Generate an image from a colonoscopy procedure.,What type of procedure is being performed in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is visible in the endoscopy image?,A polyp is visible.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color and material of the artefact?,"The artefact is green and black, indicating it is a metallic or ceramic substance."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors pink and white.,What is the color of the abnormality?,The abnormality is pink and white in color.
Generate an image with a polyp of size >20mm.,What is the size of the polyp?,The polyp is greater than 20mm in size.
Generate a polyp of type paris is.,What is the type of polyp?,Paris type
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in this image?,A colonoscopy procedure
Generate an image with an an abnormality located in the upper-left and center-left.,What is the location of the abnormality?,The abnormality is located in the upper-left and center-left.
Generate an image containing oesophagitis.,What is the condition observed in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line
Generate an image with 2 findings.,How many findings are visible in the image?,There are 2 findings.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact present in the image?,No
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What is the appearance of the abnormality?,"The abnormality has a pink, red, and white coloration."
Generate an image from a gastroscopy procedure.,What type of procedure is being performed?,A gastroscopy procedure is being performed.
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center regions."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, upper-left and upper-right.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, upper-left, and upper-right regions."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the endoscopic image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The abnormality is pink.
Generate an image with a polyp of size < 5mm.,What is the size of the polyp in the image?,The polyp is less than 5mm in size.
Generate a polyp of type paris iia.,What type of polyp is present?,A Paris IIA type polyp
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
Generate an image with an an abnormality located in the lower-left and lower-center.,What is the location of the abnormality?,The abnormality is located in the lower-left and lower-center.
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is shown in the image of the endoscopy procedure?,The image shows the procedure with no instruments present.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The color of the abnormality is pink.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The size of the polyp is approximately 5-10mm.
Generate a polyp of type paris iia.,What type of polyp is present?,Paris IIA
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,Colonoscopy
Generate an image with an an abnormality located in the upper-right and upper-center.,What is the location of the abnormality?,The abnormality is located in the upper-right and upper-center areas.
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the presence of polyps in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the artefact in the image?,The artefact is green/black.
Generate an image containing text.,Is there any text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What are the colors of the abnormality?,The colors of the abnormality are pink and red.
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center."
Generate an image containing a polyp.,What is the object of interest in the image?,A polyp.
Generate an image containing tube.,What is the object visible in the image?,A tube
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,1
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image affected by a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and purple.,What is the characteristic feature of the abnormality in the image?,The abnormality has a characteristic pink and purple color.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The size of the polyp is between 5-10mm.
Generate a polyp of type paris ip.,What type of polyp is present in the image?,A Paris IP type polyp is present.
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
Generate an image with an an abnormality located in the lower-right and lower-center.,What is the location of the abnormality?,The abnormality is located in the lower-right and lower-center part.
Generate an image with an an instrument located in the lower-right and lower-center.,What instruments are visible in the image?,The instruments visible in the image are located in the lower-right and lower-center.
Generate an image containing oesophagitis.,What is visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are visible in the image?,There are 2 findings visible in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the presence of polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,What is the presence of artefacts in the image?,There is no green/black box artefact in the image.
Generate an image containing text.,Is there any text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the most notable feature of the abnormality in the image?,"The abnormality has a pink, red, and white color scheme."
Generate an image from a gastroscopy procedure.,What type of procedure is being performed?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image."
"Generate an image with an an anatomical landmark located in the center-left, center-right, upper-center, upper-left, upper-right, lower-center, lower-left and lower-rigth.",What anatomical landmarks are visible in the image?,"The anatomical landmarks visible in the image are located in the center-left, center-right, upper-center, upper-left, upper-right, lower-center, lower-left and lower-right positions."
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is the characteristic line visible in this endoscopic image?,The z-line
Generate an image with 2 findings.,How many findings are present in this image?,There are 2 findings.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the status of the patient's colon?,The patient's colon is polyp-free.
Generate an image not containing a green/black box artefact.,Is the image free from a green/black box artifact?,"Yes, the image does not contain a green/black box artifact."
Generate an image not containing text.,What is visible in the image?,There is no text in the image.
"Generate an image with an abnormality with the colors pink, red and white.",What is the appearance of the abnormality in the image?,"The abnormality appears in shades of pink, red, and white."
Generate an image from a gastroscopy procedure.,What is the type of procedure depicted in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located at multiple sites, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, upper-left, upper-right, lower-center, lower-left and lower-rigth.",What is the location of the anatomical landmark?,"The anatomical landmark is located in the center, as well as on the left and right sides, and also in the upper and lower regions."
Generate an image containing a polyp.,What is the presence of in the image?,A polyp.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the color of the artefact in the image?,The artefact is green/black in color.
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, yellow and red.",What is the color of the abnormality in the image?,"The color of the abnormality is pink, yellow and red."
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is between 11-20mm in size.
Generate a polyp of type paris is.,What type of polyp is present?,A Paris type polyp is present.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-right, center-left, center-right and upper-center.",What is the location of the abnormality in the image?,"The abnormality is located in the upper-right, center-left, center, and upper-center areas."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,How many findings are visible in the image?,There is 1 finding.
Generate an image with no instruments.,What is the state of instruments in the image?,There are no instruments present in the image.
Generate an image with no polyps.,What is the status of the polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What color(s) can be seen in the abnormality?,"The abnormality is characterized by pink, red, and white colors."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located in multiple areas: center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing oesophagitis.,What is the condition depicted in the image?,Oesophagitis
Generate an image containing the z-line.,What is the characteristic feature visible in the image?,The image shows a Z-line.
Generate an image with 2 findings.,How many findings are visible in the image?,2
Generate an image with no instruments.,What instruments are visible in the image?,No instruments are visible in the image.
Generate an image with no polyps.,What is the number of polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,What is notable about the image?,The image does not contain any text.
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality in the image is pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of medical procedure is shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, upper-center and lower-center.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in the center, upper-center, and lower-center of the image."
Generate an image containing oesophagitis.,What is the condition visible in this image?,Oesophagitis
Generate an image containing the z-line.,What is the feature visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are present?,There are 2 findings.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the condition of the tissue in the image?,"The tissue is normal, with no polyps detected."
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
